time,mv,relative humidity,temperature,NO ppb
7/3/2023 9:09,29.34,59,31.7,2.1
7/3/2023 10:11,9.64,57,32.3,1.7
7/3/2023 11:12,33.07,51,33.4,1.7
7/3/2023 12:00,x,46,34.7,1.1
7/3/2023 13:00,x,51,34.7,1.4
7/3/2023 14:00,x,56,34.3,1.3
7/3/2023 15:00,x,61,33.4,1.4
7/3/2023 16:00,x,62,32.6,2.3
7/3/2023 17:00,x,64,31.6,1.8
7/3/2023 18:00,x,66,31,1.3
7/3/2023 19:00,x,69,29.6,1.2
7/3/2023 20:00,x,69,29.1,0.9
7/3/2023 21:00,x,66,29.5,1
7/3/2023 22:00,x,70,28.7,0.6
7/3/2023 23:00,x,71,28.5,0.4
7/4/2023 0:00,x,70,29,0.3
7/4/2023 1:00,x,70,28.8,0.9
7/4/2023 2:00,x,72,28.6,0.7
7/4/2023 3:00,x,73,28.1,0.7
7/4/2023 4:00,x,81,26.9,0.7
7/4/2023 5:00,x,83,26.7,1.8
7/4/2023 6:00,x,80,27.4,3.5
7/4/2023 7:00,x,72,29,5.6
7/4/2023 8:00,x,61,31,4.1
7/4/2023 9:00,x,52,32.7,3
7/4/2023 10:00,x,49,33.4,2
7/4/2023 11:00,3.85,43,34.9,1.7
7/4/2023 12:01,7.93,39,35.6,1.5
7/4/2023 13:03,10.61,48,35,1.5
7/4/2023 14:04,14.28,47,34.5,1.8
7/4/2023 15:05,25.78,49,33.7,x
7/4/2023 16:08,13.61,60,32.2,2.3
7/4/2023 17:10,12.24,58,31.6,2.4
7/4/2023 18:11,13.27,60,31.7,1.6
7/4/2023 19:13,11.77,61,31,1.5
7/4/2023 20:00,10.46,64,30.3,1.5
7/4/2023 21:04,13.62,67,30,1.5
7/4/2023 22:16,12.97,69,29.8,1.1
7/4/2023 23:06,9.6,71,29.5,0.8
7/5/2023 0:07,7.27,68,29.5,0.9
7/5/2023 1:09,5.54,65,29.5,1.1
7/5/2023 2:11,5.38,67,28.9,1.1
7/5/2023 3:12,9.81,68,28.5,1.1
7/5/2023 4:13,8.33,70,28.1,1.2
7/5/2023 5:15,8.5,74,27.6,1.7
7/5/2023 6:01,10.88,69,28.4,3.5
7/5/2023 7:03,13.55,59,x,5.4
7/5/2023 8:04,13.75,51,32,5.1
7/5/2023 9:06,0.06,49,32.8,2.7
7/5/2023 10:08,1.05,47,33.8,2.3
7/5/2023 11:09,1.06,47,34.3,2.4
7/5/2023 12:11,11.29,45,34.6,2.3
7/5/2023 13:12,6.14,50,34.3,2
7/5/2023 14:14,4.99,50,34.3,2.3
7/5/2023 15:00,3.95,54,33.7,2.4
7/5/2023 16:01,5.89,56,33.3,2.9
7/5/2023 17:02,4.96,54,33,3.3
7/5/2023 18:03,4.69,53,32.4,2
7/5/2023 19:05,4.87,57,31.8,2
7/5/2023 20:06,6.77,60,31.6,2
7/5/2023 21:09,8.52,64,31.1,2
7/5/2023 22:14,8.8,67,30.5,1.5
7/5/2023 23:02,8.86,69,30,1.4
7/6/2023 0:03,9.02,72,29.4,1.3
7/6/2023 1:05,8.78,73,29.3,1
7/6/2023 2:06,8.38,72,29,0.8
7/6/2023 3:07,8.33,71,28.8,0.8
7/6/2023 4:08,6.78,72,28.6,1.1
7/6/2023 5:10,6.2,72,28.6,1.9
7/6/2023 6:11,8.96,68,29.3,3.3
7/6/2023 7:13,10.25,64,30.5,3.3
7/6/2023 8:14,9.54,65,31,3.4
7/6/2023 9:15,8.55,61,32.1,4
7/6/2023 10:01,4.12,57,32.4,2.8
7/6/2023 11:03,0.03,52,33.6,2
7/6/2023 12:05,1.05,48,34.5,2.5
7/6/2023 13:07,1.14,48,34.9,2.3
7/6/2023 14:08,2.24,51,34.8,1.8
7/6/2023 15:09,12.34,53,34.5,2.6
7/6/2023 16:11,1.85,55,33.5,2.6
7/6/2023 17:12,10.54,56,32.7,2.2
7/6/2023 18:13,7.3,60,31.9,1.9
7/6/2023 19:14,0,63,31.2,1.5
7/6/2023 20:00,3.34,67,30.7,1.3
7/6/2023 21:02,11.68,70,30.2,1.3
7/6/2023 22:04,8.91,73,30,1.2
7/6/2023 23:06,7.7,75,29.7,0.9
7/7/2023 0:07,5.59,78,29.3,0.8
7/7/2023 1:08,9.36,81,28.8,1.1
7/7/2023 2:10,10.27,84,28.2,0.9
7/7/2023 3:11,1.05,84,27.9,1.1
7/7/2023 4:12,0.23,80,28.3,1.3
7/7/2023 5:13,0.02,76,28.6,1.8
7/7/2023 6:15,0.68,73,28.9,3.6
7/7/2023 7:01,3.08,63,30.6,4.1
7/7/2023 8:02,18.45,63,31.3,3.7
7/7/2023 9:03,10.7,61,32.2,3.5
7/7/2023 10:05,7.32,56,33.1,2.2
