time,mv,relative humidity,temperature,NO ppb
6/28/2023 17:00,2355.52,57,32.9,1.1
6/28/2023 18:05,2306.86,60,32.2,1.5
6/28/2023 19:07,1924.84,63,31.4,1.3
6/28/2023 20:09,1323.08,69,30.1,0.9
6/28/2023 21:11,1374.34,70,29.8,0.8
6/28/2023 22:00,1177.11,73,29.6,0.8
6/28/2023 23:05,956.42,75,29.4,1
6/29/2023 0:07,621.23,82,28.6,0.8
6/29/2023 1:10,431.37,83,28.1,0.5
6/29/2023 2:11,71.66,86,27.7,0.9
6/29/2023 3:13,38.06,84,27.8,0.9
6/29/2023 4:15,38.67,86,27.3,1.2
6/29/2023 5:01,38.21,86,26.9,3.5
6/29/2023 6:03,38.49,83,27.5,5.6
6/29/2023 7:05,37.5,76,28.9,4.5
6/29/2023 8:07,34.67,70,30.2,4.1
6/29/2023 9:09,23.83,65,31.4,1.7
6/29/2023 10:10,18.41,66,31.8,1.6
6/29/2023 11:13,15.87,62,32.5,1
6/29/2023 12:00,12.82,58,33.3,0.7
6/29/2023 13:03,10.33,56,33.9,0.6
6/29/2023 14:05,9.18,53,33.7,0.9
6/29/2023 15:08,6.75,55,32.5,0.9
6/29/2023 16:11,5.81,83,29.3,1.2
6/29/2023 17:13,8.23,83,28.7,1.8
6/29/2023 18:00,9.72,90,26.2,1.5
6/29/2023 19:03,19.52,92,25.3,1.4
6/29/2023 20:05,17.36,93,25.2,1.2
6/29/2023 21:07,16.87,95,25.4,1.3
6/29/2023 22:11,18.52,92,25.8,1.4
6/29/2023 23:13,19,90,25.8,1
6/30/2023 0:14,17.92,88,26.1,0.8
6/30/2023 1:02,19.13,87,26.2,0.6
6/30/2023 2:04,21.35,91,25.6,0.6
6/30/2023 3:05,22.2,91,25.5,0.9
6/30/2023 4:07,23.03,91,25.4,1.4
6/30/2023 5:09,25.48,92,25.2,3.5
6/30/2023 6:11,24.84,90,25.8,8.8
6/30/2023 7:13,26.36,80,27.8,9.1
6/30/2023 8:15,25.71,68,29.7,5.2
6/30/2023 9:01,24.47,66,30.3,3
6/30/2023 10:03,22.9,64,31,2.1
6/30/2023 11:04,18.2,60,32.2,1.3
6/30/2023 12:07,17.55,59,32.6,0.9
6/30/2023 13:09,9.76,79,30,0.9
6/30/2023 14:11,1816.88,85,29.1,1.6
6/30/2023 15:13,1245.33,82,29.8,2
6/30/2023 16:14,1199.54,89,28.1,1.8
6/30/2023 17:01,922.21,91,28.1,3.3
6/30/2023 18:06,661.34,92,27.9,3.7
6/30/2023 19:08,379.1,93,27.8,4.4
6/30/2023 20:10,142.3,93,27.6,3.9
6/30/2023 21:13,39.04,93,27.5,2.8
6/30/2023 22:02,40.78,92,27.4,2
6/30/2023 23:08,95.6,91,27.3,1.5
7/1/2023 0:10,427.39,89,27.3,0.6
7/1/2023 1:12,635.76,89,27.2,1
7/1/2023 2:14,710.28,92,26.6,0.8
7/1/2023 3:00,760.97,93,26.4,0.8
7/1/2023 4:03,753.95,93,26.2,1.5
7/1/2023 5:05,822.93,93,x,2.6
7/1/2023 6:07,998.96,89,26.6,2.6
7/1/2023 7:09,1230.29,84,27.8,4.9
7/1/2023 8:11,1345.34,77,28.9,3.4
7/1/2023 9:13,1481.88,69,30.2,3.8
7/1/2023 10:00,1610.37,61,32,1.6
7/1/2023 11:02,1743.59,54,33.3,1.9
7/1/2023 12:05,1834.62,54,33.5,1.6
7/1/2023 13:07,1932.14,63,32.2,1.4
7/1/2023 14:09,1394.99,57,32.9,2
7/1/2023 15:11,1012,58,32.9,1.4
7/1/2023 16:14,857.48,59,31.6,1.6
7/1/2023 17:01,687.5,63,31.4,1.1
7/1/2023 18:02,339.33,66,30.7,0.9
7/1/2023 19:05,39.08,66,30,0.6
7/1/2023 20:06,40.6,66,29.9,0.9
7/1/2023 21:08,39.71,65,29.6,1
7/1/2023 22:10,38.54,68,29.2,0.9
7/1/2023 23:11,38.16,79,28.5,0.8
7/2/2023 0:13,200.24,82,28.4,0.8
7/2/2023 1:15,260.79,84,27.6,0.8
7/2/2023 2:01,93.01,86,27.2,0.6
7/2/2023 3:02,488.66,87,26.9,0.6
7/2/2023 4:04,414.48,87,26.8,0.4
7/2/2023 5:06,427.54,87,26.7,0.8
7/2/2023 6:08,554.31,83,27.6,2.4
7/2/2023 7:10,431.28,73,29.2,2.2
7/2/2023 8:11,59.37,64,30.3,2.7
7/2/2023 9:13,38.21,58,31.5,1.4
7/2/2023 10:15,37.75,51,32.9,1.4
7/2/2023 11:01,37.72,45,34.2,1.1
7/2/2023 12:03,35.42,52,34.2,0.7
7/2/2023 13:05,30.4,56,33.8,1
7/2/2023 14:07,29.21,48,35,0.8
7/2/2023 15:08,24.64,46,34.4,1
7/2/2023 16:10,21.58,55,33.3,1.6
7/2/2023 17:12,22.35,61,32.3,0.8
7/2/2023 18:13,22.63,64,31.5,0.5
7/2/2023 19:15,22.22,65,31,0.4
7/2/2023 20:01,22.65,66,30.7,0.6
7/2/2023 21:04,25.4,69,30.2,0.6
7/2/2023 22:05,26,70,x,0.2
7/2/2023 23:07,26.52,73,29.5,0.2
7/3/2023 0:10,28.75,79,28.6,0.3
7/3/2023 1:11,29.8,83,28.2,0.3
7/3/2023 2:13,32.22,85,27.8,0.6
7/3/2023 3:14,31.24,86,27.4,0.5
7/3/2023 4:01,31.08,85,27.2,0.7
7/3/2023 5:03,30.32,84,27.3,1.6
7/3/2023 6:04,34.3,84,27.7,4.5
7/3/2023 7:06,38.06,73,29.6,6.5
7/3/2023 8:07,38.08,64,30.7,4
