time,mv,relative humidity,temparature,NO ppb
6/25/2023 21:04,2311.62,67,29.8,1.2
6/25/2023 22:07,2315.45,69,29.5,1.1
6/25/2023 23:09,2308.06,73,29,1.3
6/26/2023 0:10,2304.3,78,28.5,1.1
6/26/2023 1:12,2313.32,81,28.2,0.7
6/26/2023 2:14,2318.45,82,27.8,0.3
6/26/2023 3:00,2292.73,81,27.7,0.2
6/26/2023 4:02,2294.55,82,27.3,0.5
6/26/2023 5:04,2298.06,83,27,1.6
6/26/2023 6:05,2251.78,77,27.8,3.1
6/26/2023 7:07,2296.43,66,29.5,4.1
6/26/2023 8:10,2336.75,58,31,2.9
