time,mv,relative humidity,temperature,NO ppb
5/30/2023 16:08,2205.66,49,34.9,1.7
5/30/2023 17:11,2131.23,52,34.1,1.7
5/30/2023 18:14,1937.48,56,32.7,1.3
5/30/2023 19:01,1911.82,57,31.9,1.2
5/30/2023 20:03,1932.93,59,31.1,1.1
5/30/2023 21:05,1950.78,61,30.6,1.2
5/30/2023 22:10,1966.1,63,30,1.1
5/30/2023 23:03,1975.99,65,29.8,1.2
5/31/2023 0:10,1986.29,72,28.9,1.6
5/31/2023 1:13,1994.28,71,29,0.5
5/31/2023 2:15,2001.12,73,28.9,0.7
5/31/2023 3:01,2005.69,77,28.4,0.7
5/31/2023 4:04,2011.77,76,28.4,0.6
5/31/2023 5:05,2017.26,73,28.6,0.7
5/31/2023 6:07,2023.21,74,28.6,1.6
5/31/2023 7:09,2035.32,74,28.9,6.8
5/31/2023 8:12,2057.56,67,29.6,3.3
5/31/2023 9:15,2085.69,63,30.5,1.8
5/31/2023 10:04,2099.39,59,31.6,1.4
5/31/2023 11:09,2196.01,60,31.6,1.3
5/31/2023 12:07,2137.46,61,30.9,1.5
5/31/2023 13:16,2110.73,57,32.1,1.7
5/31/2023 14:04,1902.79,54,32.3,1.2
5/31/2023 15:06,1958.22,61,30.9,1.5
5/31/2023 16:08,1979.37,62,30.2,1.5
5/31/2023 17:10,1987.35,63,29.6,1.3
5/31/2023 18:12,1987.32,62,29.4,1
5/31/2023 19:15,1987.6,64,29.3,0.5
5/31/2023 20:02,1990.79,67,29.1,0.5
5/31/2023 21:03,1996.06,67,29,0.6
5/31/2023 22:06,2002,64,29.1,0.7
5/31/2023 23:08,2006.12,62,28.4,0.4
6/1/2023 0:11,2008.43,65,28.1,0.4
6/1/2023 1:14,2009.11,71,27.6,0.5
6/1/2023 2:00,2011.25,73,27.4,0.5
6/1/2023 3:02,2009.37,73,27.4,0.5
6/1/2023 4:04,2011.81,73,27.2,0.5
6/1/2023 5:06,1973.73,74,27.1,0.7
6/1/2023 6:07,2002.28,75,27.4,1.1
6/1/2023 7:09,2018.18,75,27.8,1.7
6/1/2023 8:11,2039.92,83,27.1,2.3
6/1/2023 9:15,2060.44,82,27.5,3.2
6/1/2023 10:03,2077.6,77,28.1,2.4
6/1/2023 11:10,2109.8,73,29.1,2
6/1/2023 12:12,2151.97,68,30.5,1.3
6/1/2023 13:00,2106.5,66,30.9,1.1
6/1/2023 14:05,2153.46,61,31.7,1.2
6/1/2023 15:08,2161.8,62,31.9,1.4
6/1/2023 16:12,2107.45,54,32.3,1.7
6/1/2023 17:15,2025.89,51,32.2,1.6
6/1/2023 18:02,2073.69,56,31.4,1.3
6/1/2023 19:09,2060.63,64,30.3,1
6/1/2023 20:11,1822.46,72,29.5,1.3
6/1/2023 21:13,1861.02,81,28.5,1.4
6/1/2023 22:01,1883.74,85,27.9,1.1
6/1/2023 23:03,1906.92,84,28.1,0.8
6/2/2023 0:05,1920.86,87,27.6,0.8
6/2/2023 1:08,1984.43,88,27.3,0.7
6/2/2023 2:10,2055.26,90,26.8,0.7
6/2/2023 3:12,2018.73,92,26.5,0.7
6/2/2023 4:14,1987.7,92,26.4,0.7
6/2/2023 5:01,1922.92,92,26.5,1.2
6/2/2023 6:03,1877.46,87,27.2,2.9
6/2/2023 7:06,1617.09,82,28.4,5.1
6/2/2023 8:07,1742.83,68,30.1,5.2
6/2/2023 9:10,1837.22,61,30.8,4
6/2/2023 10:14,1887.16,57,31.6,1.9
6/2/2023 11:02,1933.72,52,32.8,1.4
6/2/2023 12:05,1973.52,52,33.6,1.1
6/2/2023 13:08,2000.04,51,34.2,0.6
6/2/2023 14:14,2023.08,56,33.9,1
6/2/2023 15:01,2027.04,59,33.4,1.1
6/2/2023 16:05,1979.05,61,32.9,1.4
6/2/2023 17:07,1955.66,61,32.8,1.3
6/2/2023 18:09,1967.47,66,31.7,1.2
6/2/2023 19:13,1970.03,68,30.9,0.9
6/2/2023 20:00,1970.29,73,30,0.6
6/2/2023 21:02,1973.41,73,29.8,0.6
6/2/2023 22:05,1976.33,80,29.4,0.7
6/2/2023 23:08,1979.86,82,29.2,0.6
6/3/2023 0:10,1983.56,84,28.9,0.7
6/3/2023 1:15,1988.32,86,28.6,1.1
6/3/2023 2:02,1991.06,87,28.3,1.2
6/3/2023 3:05,1994.11,88,27.7,1
6/3/2023 4:09,1996.84,88,27,1
6/3/2023 5:12,1999.7,88,27,1.2
6/3/2023 6:14,2004.99,87,27.3,1.6
6/3/2023 7:02,2012.86,84,28.2,2.6
6/3/2023 8:04,2030.78,83,28.7,2.2
6/3/2023 9:07,2050.73,85,28.3,2.2
6/3/2023 10:11,2070.12,81,29.2,2.2
6/3/2023 11:15,2095.88,82,28.7,1.9
6/3/2023 12:05,2104.43,82,29.1,2.2
6/3/2023 13:07,2111.53,80,29.9,2.2
6/3/2023 14:08,2124.71,79,29.6,1.9
6/3/2023 15:09,2109.53,97,26.3,1.2
6/3/2023 16:00,2100.08,94,26.2,1.3
6/3/2023 17:01,2086.85,91,26.9,1.5
6/3/2023 18:03,2079.73,90,27.2,1.4
6/3/2023 19:06,2068.22,89,27.4,1.3
6/3/2023 20:08,2058.74,89,27.6,2
6/3/2023 21:10,2059.17,89,27.6,1.7
6/3/2023 22:11,2053.17,92,27.4,1.9
6/3/2023 23:13,2056.18,91,27.2,1.8
6/4/2023 0:03,2050.56,90,27.3,1.4
6/4/2023 1:07,2051.28,90,27,0.4
6/4/2023 2:11,2050.93,92,26.8,0.5
6/4/2023 3:15,2052.09,93,26.6,0.5
6/4/2023 4:02,2048.44,95,26.3,0.6
6/4/2023 5:06,2047.11,92,26.4,0.5
6/4/2023 6:08,2043.45,90,26.8,0.6
6/4/2023 7:11,2057.72,86,27.6,0.8
6/4/2023 8:02,2081.63,83,28.7,1
6/4/2023 9:07,2110.34,79,29.5,0.6
6/4/2023 10:12,2138.51,73,30.6,0.5
6/4/2023 11:01,2151.93,72,31,0.6
6/4/2023 12:05,2166.94,68,31.5,1.3
6/4/2023 13:11,2178.12,63,31.9,0.6
6/4/2023 14:00,2176.16,62,31.7,0.5
6/4/2023 15:04,2179.26,55,32.3,0.6
6/4/2023 16:10,2185.29,54,32.2,0.6
6/4/2023 17:15,2185.12,52,32,0.4
6/4/2023 18:03,2182.14,53,31.6,0.5
6/4/2023 19:07,2174.77,67,30.5,0.7
6/4/2023 20:11,2167.12,69,30.1,0.6
6/4/2023 21:14,2159.49,79,29.3,0.6
6/4/2023 22:04,2154.46,76,29.2,0.5
6/4/2023 23:08,2149.52,78,28.4,0.5
6/5/2023 0:09,2145.09,82,27.8,0.3
6/5/2023 1:12,2141.67,84,27.5,1.2
6/5/2023 2:14,2135,81,27.5,0.7
6/5/2023 3:00,2132.49,80,27.8,0.8
6/5/2023 4:01,2124.17,81,27.7,0.9
6/5/2023 5:03,2119.83,86,26.7,2.3
6/5/2023 6:05,2117.63,86,26.7,5.2
6/5/2023 7:06,2092.5,80,27.9,3.7
6/5/2023 8:08,2051.98,74,29.2,3
6/5/2023 9:09,2103.49,67,30.4,2.5
6/5/2023 10:11,2133.21,61,31.4,1.5
6/5/2023 11:12,2163.89,62,31.7,1.2
6/5/2023 12:14,2172.35,58,32.5,1.9
6/5/2023 13:01,2055.48,58,32.3,1.7
6/5/2023 14:05,2099.44,56,32.4,1.7
6/5/2023 15:07,2076.69,54,32.6,1.7
6/5/2023 16:11,2000.35,56,31.9,1.9
6/5/2023 17:00,2033.97,58,31.2,2
6/5/2023 18:02,1792.54,x,x,x
6/5/2023 19:04,1980.38,63,30.2,1.2
6/5/2023 20:08,1974.95,73,29,1.6
6/5/2023 21:13,1958.55,85,27.2,1.5
6/5/2023 22:06,1971.48,88,26.8,0.9
6/5/2023 23:01,1944.98,89,26.7,1
6/6/2023 0:08,1928.71,90,26,0.7
6/6/2023 1:11,1901.18,89,25.6,0.4
6/6/2023 2:15,1908.37,85,25.6,0.3
6/6/2023 3:01,1873.75,83,25.9,0.3
6/6/2023 4:04,1863.35,85,26,0.5
6/6/2023 5:08,1841.09,83,25.7,1.6
6/6/2023 6:11,1829.13,79,26.8,2.5
6/6/2023 7:00,1871,68,28.6,4.5
6/6/2023 8:06,1803.69,71,29.2,2.9
6/6/2023 9:11,1617.24,67,30.2,1.3
6/6/2023 10:14,1522.47,60,31.4,1
6/6/2023 11:05,1575.75,61,32,0.6
6/6/2023 12:07,1677.41,65,31.9,0.5
6/6/2023 13:17,1680.66,59,32.6,0.6
6/6/2023 14:13,1592.92,54,32.7,0.8
6/6/2023 15:00,1383.21,56,32.1,0.9
6/6/2023 16:06,1086.51,57,31.8,1.4
6/6/2023 17:08,1321.23,58,31.1,1.5
6/6/2023 18:10,1428.98,62,30.6,1.7
6/6/2023 19:15,1494.94,72,29.7,1.1
6/6/2023 20:06,1529.48,82,28.7,1.1
6/6/2023 21:12,1644.19,80,28.7,1.1
6/6/2023 22:03,1695.83,81,28.5,0.4
6/6/2023 23:09,1736.46,82,28.1,0.5
6/7/2023 0:02,1759.22,84,27.7,0.4
6/7/2023 1:08,1782.19,83,27.7,0.7
6/7/2023 2:13,1799.25,84,27.2,0.9
6/7/2023 3:04,1811.47,83,27.2,0.8
6/7/2023 4:08,1825.21,83,26.9,1.1
6/7/2023 5:12,1836.47,82,27.1,1.7
6/7/2023 6:02,1849.66,84,27.1,7.8
6/7/2023 7:08,1884.86,81,28.2,8.6
6/7/2023 8:13,1934.36,78,29.5,5.7
6/7/2023 9:04,1981.91,72,30.3,2.9
6/7/2023 10:13,2017.12,64,31.4,1.8
6/7/2023 11:05,2037.52,58,32.6,1.6
6/7/2023 12:13,2058.4,63,32.4,1.4
6/7/2023 13:04,2076.01,64,32.1,1.1
6/7/2023 14:08,2086.49,62,32.1,1.3
6/7/2023 15:11,1766.75,62,31.9,x
6/7/2023 16:02,1633.16,64,31.6,1.6
6/7/2023 17:12,1743.93,63,31.4,1.7
6/7/2023 18:00,1785.79,68,30.6,1.6
6/7/2023 19:05,1736.87,78,29.3,1.3
6/7/2023 20:07,1701.4,83,29,1.3
6/7/2023 21:09,1661.82,84,28.8,1
6/7/2023 22:13,1644.15,84,28.3,1.4
6/7/2023 23:00,1583.98,82,26.7,1
6/8/2023 0:02,1463.57,81,26.6,0.9
6/8/2023 1:07,1476.39,86,25.8,0.6
6/8/2023 2:10,1450.03,85,25.9,0.4
6/8/2023 3:12,1442.37,85,26.3,0.3
6/8/2023 4:01,1484.33,86,26,0.7
6/8/2023 5:04,1494.96,85,26.1,1.6
6/8/2023 6:06,1495.56,82,26.7,2.1
6/8/2023 7:09,1467.77,79,28.2,4.4
6/8/2023 8:14,1503.96,73,29.6,4.8
6/8/2023 9:01,1506.9,68,30.5,2.6
6/8/2023 10:05,1461.45,65,31,1.7
6/8/2023 11:09,1491.62,66,31.5,2.1
6/8/2023 12:15,1590.39,68,31.4,2
6/8/2023 13:03,1606.78,66,32,1.5
6/8/2023 14:08,1550.26,68,31.4,1.4
6/8/2023 15:12,1493.19,71,30.9,1.9
6/8/2023 16:16,1431.31,72,30.6,1.6
6/8/2023 17:03,1407.36,78,28.2,1.9
6/8/2023 18:05,1219.4,84,27.5,2.1
6/8/2023 19:09,1183.9,84,27.8,1.8
6/8/2023 20:12,1158.55,84,27.9,1.3
6/8/2023 21:00,1138.27,87,27.5,1.2
6/8/2023 22:03,1187.68,92,27.2,0.8
6/8/2023 23:08,1156.39,92,27.2,0.7
6/9/2023 0:11,1128.63,92,27,0.8
6/9/2023 1:13,1144.37,93,26.5,0
6/9/2023 2:01,1136.08,91,26.8,0.4
6/9/2023 3:03,1107.58,90,26.9,0.3
6/9/2023 4:06,1130.54,90,27,0.3
6/9/2023 5:09,1120.16,92,26.7,2.7
6/9/2023 6:12,1106.23,89,27.3,7.3
6/9/2023 7:14,1080.25,88,27.5,9.8
6/9/2023 8:02,1040.97,87,28,13.7
6/9/2023 9:05,1109.73,82,28.7,5.5
6/9/2023 10:07,1057.26,82,28.9,3.7
6/9/2023 11:04,931.57,82,29,2.5
6/9/2023 12:10,1032.15,78,29.8,2.3
6/9/2023 13:12,1286.82,70,30.5,1
6/9/2023 14:14,1425.2,67,31.2,0.7
6/9/2023 15:01,1507.08,60,31.8,0.8
6/9/2023 16:04,1574.04,62,31.8,0.9
6/9/2023 17:07,1594.88,66,31,1
6/9/2023 18:10,1244.32,67,30.4,2.9
6/9/2023 19:00,1481.45,70,30,2.3
6/9/2023 20:03,1263.36,68,29.7,0.8
6/9/2023 21:06,1214.29,82,28.3,0.8
6/9/2023 22:13,1114.53,83,27.8,0.4
6/9/2023 23:02,1034.51,85,27.7,0.6
6/10/2023 0:07,1028.2,86,27.6,0.6
6/10/2023 1:11,1024.63,88,26.8,0.3
6/10/2023 2:14,1043.76,88,27.2,0.7
6/10/2023 3:01,1047.26,90,26.9,1.1
6/10/2023 4:05,1053.69,93,26.4,1.8
6/10/2023 5:08,1052.17,93,26.1,1.9
6/10/2023 6:10,1071.54,91,26.5,5.6
6/10/2023 7:12,1081.07,88,27.1,6.3
6/10/2023 8:00,1088.22,82,28.1,5.7
6/10/2023 9:03,1032.03,74,29,4.4
6/10/2023 10:06,1018.69,67,30.2,2.4
6/10/2023 11:12,842.39,64,31.2,1.1
6/10/2023 12:15,767.84,59,31.9,0.6
6/10/2023 13:03,704.25,x,x,x
6/10/2023 14:09,470.72,68,31.3,0.7
6/10/2023 15:12,613.55,69,30.8,0.8
6/10/2023 16:15,647.14,67,30.4,1.3
6/10/2023 17:04,666.83,69,30.1,1.5
6/10/2023 18:07,659.85,72,29.5,0.7
6/10/2023 19:11,658.67,72,29.5,0.7
6/10/2023 20:16,659.18,74,28.6,0.8
6/10/2023 21:03,648.02,75,28.2,0.7
6/10/2023 22:06,608.11,81,27.5,0.4
6/10/2023 23:10,594.09,83,27,0.5
6/11/2023 0:13,579.44,83,27,0.5
6/11/2023 1:15,597.99,83,27.1,0.9
6/11/2023 2:04,605.89,82,27.2,0.5
6/11/2023 3:06,645.35,84,26.8,0.7
6/11/2023 4:09,646.31,84,26.8,0.7
6/11/2023 5:12,662.58,85,26.5,1
6/11/2023 6:15,707.43,81,27.4,2.4
6/11/2023 7:02,715.61,78,28.2,2.4
6/11/2023 8:06,716.79,68,29.6,2.3
6/11/2023 9:08,650.3,62,30.8,1.3
6/11/2023 10:12,564.15,64,30.9,1.2
6/11/2023 11:15,490.18,70,30.3,0.9
6/11/2023 12:01,319.96,91,26.7,1.5
6/11/2023 13:04,416.82,90,27.4,2.6
6/11/2023 14:09,365.97,90,27.7,2.1
6/11/2023 15:12,431.03,84,28.7,1.4
6/11/2023 16:15,346.64,83,29.2,1.1
6/11/2023 17:03,275.09,84,28.8,0.8
6/11/2023 18:06,228.4,85,28.7,0.6
6/11/2023 19:08,186.8,87,28.2,0.6
6/11/2023 20:12,201.74,88,27.9,0.7
6/11/2023 21:00,237.17,88,27.9,1.1
6/11/2023 22:03,266.34,91,27.5,1
6/11/2023 23:07,310.02,93,27.1,2.5
6/12/2023 0:09,432.27,91,27.2,1.2
6/12/2023 1:12,482.79,93,26.7,1.4
6/12/2023 2:01,526.42,93,26.5,1.3
6/12/2023 3:04,566.53,89,26.8,0.9
6/12/2023 4:06,569.03,90,26.7,1.1
6/12/2023 5:10,489.46,93,26.3,2.1
6/12/2023 6:12,481.63,92,26.4,4
6/12/2023 7:15,556.83,89,27,6.1
6/12/2023 8:03,485.05,90,27,9.8
6/12/2023 9:06,397.88,89,27.3,11.6
6/12/2023 10:08,466.37,85,28.4,5.7
6/12/2023 11:10,356.36,85,28.6,5.2
6/12/2023 12:11,791.63,85,28.9,3.1
6/12/2023 13:00,590.33,79,30.1,1.9
6/12/2023 14:07,385.67,70,30.8,2.1
6/12/2023 15:15,221.86,69,30.9,x
6/12/2023 16:11,393.02,64,31.3,1.3
6/12/2023 17:07,1090.2,66,30.8,0.9
6/12/2023 18:37,816.15,70,30.5,0.8
6/12/2023 19:22,814.9,82,28,1.1
6/12/2023 20:17,928.89,89,27.3,0.8
6/12/2023 21:17,968.85,88,27.8,1.1
6/12/2023 22:14,979.77,89,27.1,1.1
6/12/2023 23:11,1031.24,89,26.9,0.8
6/13/2023 0:04,1054.68,90,26.5,0.8
6/13/2023 1:11,1045.04,89,26.5,0.6
6/13/2023 2:00,1043.1,88,26.8,0.3
6/13/2023 3:03,1007.18,89,26.7,0.3
6/13/2023 4:05,996.06,93,26.2,0.4
6/13/2023 5:07,1011.76,93,26.3,0.6
6/13/2023 6:08,1037,91,26.6,2.1
6/13/2023 7:11,1008.49,86,27.7,3
6/13/2023 8:13,940.95,82,28.5,2
6/13/2023 9:15,889.39,81,29.1,2.6
6/13/2023 10:05,722.24,80,29.7,1.8
6/13/2023 11:09,557.55,77,30.2,1.3
6/13/2023 12:06,35.48,69,31.4,1.1
6/13/2023 13:00,267.11,64,31.7,0.8
6/13/2023 14:09,715.26,61,32.1,0.8
6/13/2023 15:12,989.02,60,32.1,0.8
6/13/2023 16:03,1051.98,68,29.9,1.2
6/13/2023 17:31,1274.57,73,29.2,1.5
6/13/2023 18:02,1739.36,77,28.7,1.1
6/13/2023 19:04,1667.56,79,28.5,0.7
6/13/2023 20:06,1616.91,81,28.3,0.2
6/13/2023 21:11,1491.88,80,28.8,0.8
6/13/2023 22:14,1483.68,81,28.4,0.4
6/13/2023 23:01,1506.03,85,27.7,0.4
6/14/2023 0:03,1484.54,86,27.3,0.3
6/14/2023 1:05,1521.14,89,27.1,0.9
6/14/2023 2:06,1499.11,87,27.2,0.8
