H2S,TVOC,CO,SO2,Nox,RH,T,SO2,CO,NOx,THC,THC - NMHC
2047,1880,1790,1406,727,34.2,39.1,2.1,0.32,14.6,2.4,2.29
1997,1808,1702,1382,737,34.1,38.5,1.9,0.33,16.5,2.49,2.38
1999,1805,1693,1394,752,34.9,37.4,1.4,0.37,16.9,2.57,2.43
1904,1642,1501,1344,758,34.4,38.2,1.7,0.47,22.1,2.56,2.41
1792,1463,1304,1261,745,38.3,32.6,2.8,0.47,47.7,2.5,2.36
1756,1400,1233,1230,731,41.3,29.8,3.8,0.53,27.2,2.51,2.37
1752,1386,1219,1229,716,44.2,27.5,3.8,0.54,21.3,2.48,2.29
1754,1382,1208,1230,701,48.4,26,3.4,0.5,13.2,2.38,2.18
1763,1385,1214,1232,694,50,25.6,3.2,0.48,10.5,2.34,2.16
1762,1376,1200,1223,666,52.5,24.9,3.4,0.42,11.9,2.21,2.14
1751,1357,1179,1219,655,53.8,24.4,2.3,0.39,12.2,2.17,2.1
1738,1338,1152,1211,646,55.7,23.6,2.4,0.37,9.1,2.17,2.1
1745,1343,1160,1213,641,56.9,23.2,2.4,0.38,14.4,2.13,2.08
1775,1373,1197,1233,645,58.4,22.7,2.4,0.42,18.3,2.16,2.09
1797,1399,1221,1247,635,58.7,23.8,2.7,0.41,14.5,2.16,2.1
1797,1395,1216,1249,627,59.2,23.5,2.7,0.45,15.9,2.21,2.15
1819,1426,1256,1258,624,59.2,24,2.6,0.5,27.8,2.24,2.15
1821,1430,1261,1273,624,59.2,24.5,3.1,0.48,25.1,2.28,2.18
1783,1376,1187,1255,619,59.3,24.7,2.6,0.48,17.8,2.39,2.29
1797,1402,1213,1264,620,59.6,24.6,2.1,0.51,17.3,2.49,2.37
1866,1501,1335,1310,637,59,25.8,1.9,0.45,23.6,2.57,2.39
1890,1539,1386,1341,642,57.8,27.4,2,0.47,51.3,2.65,2.51
1980,1698,1552,1404,656,54.2,29.4,1.9,0.38,32,2.52,2.36
2086,1895,1783,1467,697,47.8,34,2.4,0.6,24.2,2.64,2.46
2085,1908,1807,1455,709,43.5,37.9,2.6,0.51,35.4,2.46,2.35
2058,1868,1761,1428,730,39.1,38.8,2.1,0.39,29,2.44,2.31
2004,1795,1676,1409,737,40,38.3,1.7,0.35,28.7,2.39,2.28
1886,1614,1467,1312,736,39.9,35.4,1.9,0.37,20.8,2.27,2.19
1850,1557,1403,1286,727,41.3,33.3,2.1,0.46,26.8,2.26,2.16
1792,1460,1298,1243,704,44.8,30,2,0.38,33.7,2.3,2.16
1777,1437,1268,1236,697,46.5,28.4,1.4,0.37,25.6,2.28,2.14
1756,1410,1232,1216,684,48.2,27.4,2.4,0.37,26.7,2.29,2.13
1759,1394,1215,1210,658,49.6,26.3,2.6,0.31,16.7,2.24,2.11
1736,1363,1180,1192,651,50.1,25.7,3.6,0.29,12.9,2.25,2.11
1727,1347,1162,1187,631,51.4,24.4,2.2,0.28,11.8,2.19,2.1
1711,1329,1138,1168,626,51.5,24,2.6,0.26,13.5,2.23,2.13
1746,1371,1195,1167,622,51.9,23.6,2.6,0.32,13.8,2.22,2.12
1743,1360,1183,1166,610,51.7,23.5,2.7,0.35,13.8,2.23,2.12
1722,1330,1151,1142,599,51.5,23.3,2.7,0.34,21.1,2.24,2.14
1703,1305,1118,1135,592,54.7,21.3,2.6,0.44,24.9,2.27,2.15
1711,1306,1119,1139,592,55,21,2.1,0.33,29.6,2.27,2.15
1697,1282,1089,1136,579,56.6,20.5,1,0.32,21.7,2.31,2.18
1710,1298,1107,1144,579,57.1,20.6,2,0.29,18.9,2.28,2.16
1726,1321,1136,1156,576,57.3,20.7,2.4,0.27,17.3,2.29,2.17
1744,1345,1155,1186,576,57.7,20.7,2.1,0.43,25.5,2.27,2.17
1731,1332,1137,1199,567,55.4,23.4,2.4,0.44,35.7,2.28,2.18
1764,1368,1187,1189,569,53.3,23.6,2.1,0.33,18.3,2.29,2.17
1773,1380,1199,1219,571,55.1,23.5,1.8,0.4,18.5,2.29,2.17
1857,1495,1336,1268,574,53.7,24.8,1.7,0.38,18,2.25,2.14
1840,1480,1319,1259,577,53,26.9,1.4,0.41,20.7,2.26,2.15
1787,1419,1236,1236,577,49.1,28.5,1.7,0.31,19.9,2.21,2.13
1760,1378,1194,1210,567,47.7,27.4,1.6,0.47,27.9,2.24,2.16
1750,1361,1177,1203,551,50.5,25.1,1.6,0.41,24.9,2.25,2.14
1742,1348,1164,1187,546,50.7,25,1.7,0.38,24.7,2.26,2.14
1714,1316,1132,1154,531,50.2,24,1.5,0.43,26.5,2.32,2.15
1713,1315,1131,1155,531,50.5,23.3,1.9,0.4,21.3,2.34,2.13
1726,1331,1156,1136,525,50.9,22.8,2,0.51,19.2,2.37,2.14
1714,1315,1137,1138,511,51.5,22.1,1.9,0.42,16.9,2.35,2.13
1712,1311,1133,1136,527,51.6,22,2.4,0.43,25.6,2.38,2.13
1712,1308,1125,1129,523,51.5,21.6,2.2,0.45,28.8,2.39,2.12
1711,1302,1118,1132,527,51.7,21.4,1.8,0.44,28.1,2.29,2.13
1706,1297,1108,1122,524,52,21.1,1.8,0.44,21.7,2.27,2.12
1691,1276,1089,1130,511,52.1,21.1,1.6,0.42,24.2,2.24,2.11
1687,1268,1075,1122,511,52.2,21,1.2,0.52,18,2.28,2.14
1700,1283,1096,1116,509,52,20.9,1.3,0.47,20.1,2.28,2.17
1713,1305,1124,1109,499,52,20.7,1.4,0.46,15.5,2.31,2.18
1679,1254,1058,1113,499,52,20.7,1.5,0.42,17.9,2.3,2.18
1676,1246,1047,1110,494,51.8,20.6,2.4,0.48,14.1,2.31,2.19
1719,1305,1111,1146,490,51.4,21.4,2.7,0.45,18.2,2.3,2.19
1739,1329,1139,1173,495,50.7,22.5,2.6,0.33,14.3,2.26,2.16
1742,1343,1154,1179,494,47.6,24.6,2.8,0.28,21.8,2.25,2.16
1739,1337,1149,1171,484,46.4,24.8,2.6,0.24,13.5,2.23,2.14
1757,1357,1176,1170,486,45.7,25,2.9,0.4,32,2.19,2.12
1729,1327,1137,1152,481,44.8,25,2.6,0.25,16.3,2.23,2.15
1740,1344,1170,1118,471,44.7,24.4,2.8,0.24,28.3,2.22,2.15
1729,1321,1136,1137,464,49.6,22.3,2.5,0.29,19.9,2.24,2.16
1732,1324,1137,1137,462,48.1,22.9,2.7,0.36,22.2,2.28,2.18
1709,1295,1118,1113,450,48,22.3,2.7,0.32,29.1,2.27,2.18
1694,1281,1102,1093,445,47.9,21.5,2.5,0.35,28.1,2.28,2.18
1665,1247,1066,1061,439,48,20.3,2.7,0.38,26.1,2.28,2.17
1651,1232,1047,1057,439,48,19.7,2.4,0.35,27.4,2.29,2.17
1647,1223,1037,1046,438,48,19.3,2.3,0.44,21.3,2.31,2.19
1629,1200,1007,1030,426,48.2,18.4,2.3,0.38,34.6,2.33,2.2
1620,1195,996,1023,426,48.2,18.1,2.5,0.37,25.9,2.31,2.18
1638,1210,1022,1029,428,48.5,17.8,2.6,0.41,27,2.33,2.18
1628,1199,1007,1025,427,48.2,17.8,2.7,0.48,22.3,2.39,2.2
1630,1197,1001,1033,419,48,17.6,2.8,0.43,21.3,2.34,2.17
1616,1181,980,1016,410,47.9,17.5,2.8,0.34,22.2,2.29,2.15
1631,1194,1004,1005,407,47.7,17.4,2.9,0.29,21.2,2.25,2.12
1609,1168,976,1001,400,47.3,17.2,2.7,0.26,19.1,2.24,2.12
1601,1156,958,994,395,47.1,17,2.6,0.25,21.8,2.23,2.12
1615,1168,975,1003,389,46.9,16.8,2.6,0.29,14.1,2.22,2.12
1698,1270,1100,1041,385,46.8,17,2.3,0.29,15,2.21,2.12
1674,1242,1056,1076,400,44.5,20.9,2.6,0.38,28.6,2.22,2.13
1667,1233,1041,1072,394,43.6,20.9,2.8,0.29,34.6,2.22,2.13
1715,1288,1100,1113,400,43.1,21.1,2.5,0.31,17.6,2.21,2.12
1781,1384,1199,1176,409,43.1,23.1,2.6,0.29,16.8,2.16,2.08
1762,1365,1188,1168,418,41,26.4,2.7,0.28,33,2.2,2.12
1800,1408,1234,1180,421,39.2,25.6,3,0.26,26,2.21,2.12
1778,1392,1215,1169,419,40,27,2.9,0.39,18.6,2.24,2.14
1725,1317,1138,1116,406,37.2,27.7,3,0.43,23,2.27,2.15
1658,1242,1060,1041,399,36.7,26,2.9,0.35,22.5,2.29,2.15
1652,1230,1057,1003,381,39.6,20.6,2.9,0.33,33.5,2.27,2.14
1648,1227,1052,1002,375,40.3,19.9,3.4,0.38,41.9,2.28,2.13
1628,1200,1011,1002,368,41.1,19.3,3,0.36,23.5,2.27,2.12
1628,1199,1008,997,359,41.3,19.2,2.9,0.45,32.8,2.3,2.13
1630,1200,1008,993,359,41.5,19,3.1,0.4,36,2.33,2.15
1648,1218,1040,995,350,42,18.6,3.1,0.38,44,2.28,2.12
1653,1223,1042,1002,350,42.3,18.5,3,0.4,42.3,2.29,2.13
1661,1227,1042,1015,351,43.1,18.5,3,0.41,27.2,2.29,2.13
1648,1211,1018,1012,351,43.5,18.4,3.1,0.44,22.6,2.27,2.12
1651,1215,1022,1019,351,44.1,18.5,3,0.44,26.8,2.27,2.13
1657,1214,1022,1020,349,44.5,18.5,2.9,0.38,37.4,2.28,2.14
1658,1215,1021,1020,346,44.7,18.4,3,0.42,30.7,2.28,2.14
1666,1224,1035,1039,346,45.8,18.2,3.4,0.43,29.5,2.29,2.14
1656,1206,1006,1043,345,46.2,18.4,3.6,0.43,25.8,2.3,2.14
1711,1268,1080,1093,355,46.8,19.1,3.6,0.4,29.9,2.34,2.18
1726,1286,1093,1107,366,45.9,20.5,3.7,0.39,25.8,2.37,2.2
1793,1370,1185,1168,384,45.3,23.6,3.6,0.39,20.4,2.36,2.18
1825,1410,1228,1203,393,44.3,24.8,3.9,0.5,26,2.46,2.25
1811,1408,1220,1212,410,42,27.7,3.6,0.43,26.7,2.36,2.19
1807,1409,1218,1219,418,41.9,27.8,3.5,0.42,19.3,2.42,2.23
1807,1419,1230,1226,432,41.9,28.1,3.3,0.42,33.3,2.47,2.29
1758,1365,1178,1182,452,40.7,28.1,3.2,0.45,35.2,2.48,2.31
1752,1358,1169,1173,464,40.8,27.4,4.3,0.46,29.6,2.47,2.28
1728,1321,1133,1139,470,42.2,25.5,4.9,0.49,28.7,2.46,2.27
1740,1333,1151,1136,466,43.4,24.4,4.2,0.53,39.1,2.52,2.31
1744,1347,1177,1128,470,45.3,23.4,3.7,0.54,38.4,2.53,2.34
1730,1321,1137,1126,468,45.8,23.1,3.2,0.53,24.3,2.38,2.25
1740,1327,1139,1127,459,46.6,22.6,3.6,0.49,18.8,2.36,2.24
1737,1316,1130,1126,453,46.9,22.5,4.2,0.43,13.8,2.28,2.18
1738,1323,1134,1126,443,47.2,22.5,3.7,0.42,14.5,2.24,2.16
1728,1311,1118,1126,437,48.4,22.2,3.3,0.44,14.9,2.25,2.16
1719,1296,1100,1134,446,49.3,22,2.9,0.47,14.6,2.32,2.2
1715,1296,1091,1134,453,50.8,21.7,2.4,0.46,15.3,2.31,2.2
1713,1287,1086,1126,451,51.6,21.5,2.6,0.59,19.8,2.37,2.24
1711,1281,1081,1135,463,53,21.1,2.9,0.53,22.8,2.4,2.24
1707,1276,1075,1141,464,53.6,21.1,3.2,0.56,41.9,2.43,2.26
1699,1267,1065,1137,462,54.1,21,3.1,0.55,31.2,2.46,2.28
1709,1280,1082,1139,464,54.7,20.7,3,0.53,24.5,2.4,2.24
1719,1296,1098,1150,465,54.9,20.8,3,0.41,21.1,2.36,2.24
1841,1455,1263,1281,478,55.4,21.7,3.1,0.34,21.4,2.35,2.24
1924,1595,1425,1331,499,51.1,27.5,2.9,0.33,21.1,2.31,2.2
1969,1706,1559,1360,567,42.7,34,2.9,0.32,14.8,2.27,2.19
1948,1686,1535,1341,579,39.4,35.4,2.8,0.29,26.8,2.18,2.12
1906,1621,1468,1304,609,37.5,35,2.9,0.26,30.7,2.19,2.13
1900,1615,1457,1298,611,37.5,34.2,3.1,0.34,17.1,2.18,2.13
1853,1548,1391,1263,615,36.7,34.5,3.1,0.26,31.6,2.17,2.12
1740,1395,1229,1160,590,37.2,30.5,3.2,0.27,34.5,2.19,2.13
1672,1298,1125,1086,576,37.7,28.3,3.7,0.33,34.8,2.17,2.11
1636,1249,1074,1038,539,42,21.5,3.8,0.29,13,2.16,2.11
1646,1257,1077,1048,537,43.6,20.3,4.2,0.28,13.5,2.15,2.1
1632,1232,1047,1034,498,44.1,20.3,5,0.27,9.4,2.13,2.09
1629,1228,1040,1012,489,44.3,19.7,4.2,0.26,13.8,2.11,2.07
1629,1218,1038,998,459,46.1,18,3.9,0.26,13.1,2.11,2.07
1641,1232,1055,1001,455,47.1,17.5,3.4,0.29,11.6,2.13,2.07
1636,1220,1040,1006,448,48.1,17.2,3,0.31,16.8,2.16,2.09
1628,1206,1014,999,438,49.4,16.7,3,0.31,19.6,2.2,2.11
1620,1194,999,999,431,49.8,16.5,3,0.3,16.3,2.22,2.12
1621,1195,998,987,421,50.6,16,3.3,0.3,30.7,2.22,2.13
1614,1179,976,983,419,50.9,15.8,3.3,0.29,23.4,2.23,2.13
1611,1171,971,987,401,51.3,15.6,3.4,0.36,32.5,2.24,2.13
1616,1176,976,991,403,51.2,15.6,3.3,0.36,20.1,2.27,2.16
1680,1245,1054,1053,406,51.8,15.5,1.8,0.37,21.8,2.29,2.17
1756,1338,1145,1135,418,53.6,17.4,1.2,0.4,21.1,2.32,2.21
1816,1421,1236,1204,432,48.5,22.2,1.6,0.4,23.2,2.34,2.24
1891,1572,1404,1269,475,41.5,28.8,1.5,0.39,19.5,2.36,2.26
1938,1651,1501,1296,498,38.3,31.8,1.6,0.36,25.4,2.34,2.24
1952,1693,1556,1298,545,35.2,34.5,1.7,0.32,25.7,2.29,2.2
1943,1676,1527,1299,560,34.5,35.1,1.5,0.34,23,2.31,2.21
1957,1708,1566,1309,574,33.7,36.2,1.8,0.47,21.5,2.38,2.27
1922,1664,1518,1282,581,32.6,37,1.8,0.43,21.8,2.34,2.23
1869,1580,1423,1235,571,32,36.2,2.1,0.46,24.9,2.34,2.22
1705,1346,1181,1078,537,32.9,31.3,2.8,0.48,23.3,2.32,2.17
1680,1308,1146,1046,529,35.8,25.8,2.8,0.48,19.6,2.34,2.18
1648,1264,1087,1013,498,40.4,21.5,2.7,0.52,18.5,2.36,2.15
1648,1262,1086,1007,485,41.6,20.6,2.8,0.47,17.1,2.25,2.13
1627,1221,1034,990,453,43,19.4,3.2,0.41,18.8,2.25,2.12
1619,1210,1014,988,448,43.3,18.9,1.7,0.39,22,2.27,2.11
1652,1246,1071,983,428,44,18,2.3,0.47,21.8,2.27,2.13
1636,1220,1040,981,418,44.6,17.5,2.2,0.43,22.6,2.34,2.15
1649,1235,1059,980,417,45.3,17.2,1.6,0.46,17.4,2.31,2.16
1632,1211,1019,970,412,46.4,16.6,1.7,0.46,23.3,2.32,2.16
1635,1213,1024,976,400,46.8,16.4,1.9,0.46,20.9,2.32,2.17
1644,1213,1023,979,403,47.8,16.1,2.1,0.48,34.3,2.34,2.18
1664,1235,1055,977,398,48.4,16.2,1.7,0.47,35.2,2.36,2.2
1640,1204,1010,983,390,49.6,16,1.6,0.45,27,2.36,2.21
1701,1273,1099,1006,394,50.7,15.8,2.1,0.52,27.8,2.42,2.26
1779,1360,1191,1076,390,51.9,16.3,2.5,0.42,19.5,2.46,2.29
1845,1454,1282,1176,415,48.5,23.6,2.2,0.42,19.3,2.43,2.25
1853,1471,1297,1200,418,44.5,25.6,2.1,0.39,21.8,2.48,2.3
1930,1597,1425,1291,447,41.7,29.4,2.5,0.44,20.8,2.58,2.38
1895,1558,1388,1258,452,38.9,32.5,2.6,0.42,25.2,2.58,2.35
1903,1586,1429,1259,490,37.6,32.5,2.2,0.43,25.9,2.69,2.45
1869,1539,1380,1249,501,37,32.8,2.4,0.46,24.1,2.82,2.55
1841,1511,1343,1223,531,36.9,32.3,2.9,0.6,39.6,2.89,2.56
1809,1467,1291,1197,526,36.7,31.9,3.3,0.64,49,2.73,2.44
1774,1420,1244,1166,527,37.5,30.1,3.9,0.71,43.3,2.74,2.44
1747,1372,1192,1131,502,40.1,26.4,6.3,0.67,46.5,2.93,2.58
1744,1371,1191,1127,497,42.3,25.1,6.2,0.65,31,2.56,2.33
1755,1369,1187,1142,495,44.7,24.8,5.3,0.63,21.8,2.46,2.27
1761,1378,1199,1152,500,46,24.7,4.2,0.41,17.8,2.46,2.26
1745,1358,1169,1157,511,48.3,24.2,4.5,0.39,17.3,2.44,2.26
1750,1358,1168,1161,527,49.5,23.9,4.8,0.37,19.6,2.4,2.25
1752,1356,1160,1172,526,51.5,23.7,4.6,0.42,17.4,2.37,2.23
1753,1356,1156,1173,528,52.2,23.7,4.5,0.4,22.6,2.35,2.24
1759,1359,1165,1180,530,52.8,23.7,3.3,0.42,24.5,2.36,2.23
1764,1360,1162,1184,535,53.9,23.6,2.8,0.39,22.2,2.35,2.22
1769,1365,1168,1189,531,54.3,23.6,3.1,0.37,18.9,2.37,2.25
1772,1370,1176,1184,537,55.2,23.5,2.9,0.33,13.3,2.32,2.23
1791,1394,1210,1200,540,55.5,23.4,2.4,0.36,17.8,2.35,2.26
1803,1411,1224,1209,543,56.5,23.6,2.4,0.31,19.1,2.35,2.27
1826,1441,1260,1234,549,57.2,24,2.3,0.34,19.7,2.44,2.36
1836,1451,1264,1245,553,57,24.9,2.5,0.35,17.8,2.45,2.38
1869,1509,1333,1277,555,52.5,27.8,2.2,0.34,22.8,2.47,2.4
1875,1523,1351,1283,550,49.8,28.8,2.6,0.36,33.8,2.45,2.38
1962,1665,1511,1341,566,47,30.8,2.9,0.41,18.5,2.45,2.34
1957,1664,1511,1340,571,43.9,33.2,3.6,0.45,16.5,2.52,2.35
1919,1615,1454,1309,572,41.9,33.7,2,0.35,18.9,2.43,2.31
1912,1600,1442,1290,574,43.1,32.8,2,0.46,19.2,2.39,2.3
1823,1483,1308,1236,550,42.9,30.9,2.8,0.5,27.6,2.51,2.37
1799,1446,1267,1222,557,44.5,29.5,3.5,0.53,28.5,2.59,2.38
1786,1424,1246,1210,559,47.4,27.7,3.8,0.52,27.3,2.47,2.29
1776,1406,1217,1199,547,51.6,25.6,5,0.59,26.3,2.44,2.28
1793,1422,1236,1200,544,52.7,25.4,3.5,0.58,26.3,2.42,2.29
1790,1418,1232,1214,543,53.9,25.2,2.3,0.5,21.2,2.35,2.24
1799,1432,1249,1217,551,54.5,25,2.1,0.55,34.8,2.31,2.19
1793,1419,1233,1215,551,55.6,25,3,0.44,30.7,2.31,2.18
1807,1435,1255,1219,546,55.9,24.9,4.7,0.39,21.1,2.26,2.16
1775,1392,1202,1203,565,57.4,24.2,4.3,0.4,19.8,2.27,2.16
1778,1397,1205,1206,567,58.9,23.6,2.7,0.45,27.7,2.37,2.2
1799,1416,1231,1208,576,59.8,23.5,2,0.54,30.1,2.37,2.22
1806,1424,1244,1209,580,61.1,23.5,1.6,0.54,22.4,2.3,2.18
1797,1410,1228,1215,579,61.6,23.4,1.3,0.5,20.9,2.33,2.18
1786,1403,1219,1218,576,61.5,23.1,1.2,0.44,20.9,2.39,2.23
1781,1396,1209,1217,575,61.5,23.1,2.3,0.47,17.4,2.41,2.26
1838,1465,1287,1262,576,61.1,23.9,2.9,0.46,15.8,2.44,2.31
1820,1453,1270,1252,578,60,25.6,3.1,0.39,13.7,2.55,2.43
1827,1466,1286,1257,578,56.3,26.3,4.3,0.4,15,2.48,2.32
1876,1533,1362,1312,590,55.5,27.5,2.8,0.39,14.4,2.43,2.27
1838,1484,1307,1278,591,54.2,29.2,3.1,0.38,24.8,2.62,2.47
1817,1460,1289,1258,591,55.2,26.9,3.7,0.45,23.7,2.43,2.3
1826,1469,1297,1258,592,57.9,25.8,3.2,0.36,20,2.43,2.29
1855,1506,1341,1265,589,58.6,26.1,4,0.38,34.1,2.47,2.33
1844,1490,1323,1263,577,58.5,26.4,3.8,0.33,31.9,2.27,2.18
1828,1466,1296,1241,558,59.7,25.4,2.8,0.26,28.7,2.15,2.08
1811,1449,1273,1239,545,60.1,25.1,2.8,0.24,31.3,2.22,2.1
1806,1437,1258,1232,543,60.6,24.7,3.9,0.27,28.6,2.27,2.1
1800,1426,1246,1229,535,62.2,24.4,3.6,0.33,19.7,2.29,2.12
1789,1415,1231,1223,531,62.2,24.2,3.4,0.37,18.4,2.29,2.12
1773,1395,1214,1204,535,62.6,23.3,3.2,0.37,23.3,2.41,2.19
1794,1433,1266,1196,539,62.9,23,3.3,0.46,26.3,2.44,2.24
1777,1413,1245,1185,549,63.4,22.4,3.3,0.51,33.1,2.45,2.24
1776,1410,1236,1188,544,63.9,22.1,3.5,0.55,28.8,2.46,2.25
1788,1423,1255,1195,550,64,21.9,3.3,0.46,28.5,2.38,2.21
1772,1398,1228,1190,551,64.6,22.4,3.2,0.46,36.5,2.41,2.26
1765,1397,1221,1184,550,63.4,22.4,2.7,0.45,23.8,2.35,2.2
1746,1373,1199,1167,546,64.3,21.5,2.6,0.38,26.1,2.32,2.2
1752,1374,1193,1167,548,64.7,21.1,4.6,0.32,20.2,2.29,2.19
1791,1424,1258,1190,555,65,21.7,3.6,0.53,24,2.36,2.24
1805,1436,1263,1218,557,65,22.1,2.7,0.43,19.6,2.36,2.24
1863,1515,1354,1264,571,63,24.3,2.6,0.36,21.2,2.38,2.25
