H2S,TVOC,CO,SO2,NOx,RH,T,H2S(GT),TVOC(GT),CO(GT),SO2(GT),NOx(GT)
1947,1612,1445,1136,459,55.9,22.5,2.5,2.86,0.53,3.6,20.5
2017,1743,1597,1198,493,42.6,32.2,2.65,2.88,0.57,3.6,18.6
2032,1787,1648,1200,503,38.7,34.7,2.64,2.91,0.58,3.7,20.7
2057,1838,1713,1208,555,34,37.7,3.01,3.21,0.52,3.8,17.3
2008,1776,1649,1174,569,32.7,38,2.56,2.81,0.51,3.6,17.5
1993,1771,1649,1135,577,31.5,36.7,2.51,2.86,0.51,2.9,13.8
1972,1749,1626,1125,597,29.9,37.3,2.43,2.72,0.66,4,25
1872,1608,1471,1060,588,30.5,35.6,2.54,2.87,0.77,5.2,32
1792,1498,1363,980,571,31.8,33,2.37,2.58,0.65,6.7,32.4
1763,1460,1334,937,556,34.6,28.1,2.27,2.39,0.47,5,21.1
1776,1469,1354,930,530,41,22.8,2.26,2.36,0.44,4.3,9.9
1786,1473,1353,928,522,42.9,22,2.19,2.3,0.41,4,9.3
1793,1470,1343,933,496,46.4,20.6,2.15,2.29,0.37,3.7,11.1
1790,1461,1327,930,495,47.9,20.2,2.11,2.21,0.3,3.8,9.2
1766,1422,1274,925,483,50,19.4,2.18,2.25,0.38,4,10.5
1753,1403,1246,916,477,51.3,18.8,2.17,2.24,0.37,4.1,10.3
1716,1357,1193,902,463,52.5,18.5,2.17,2.29,0.45,5,19.1
1655,1278,1090,903,471,53.8,17.6,2.21,2.39,0.49,4.9,16.3
1652,1270,1081,899,464,54.7,17.4,2.32,2.55,0.53,4.6,20.6
1665,1283,1090,908,468,55.6,17.1,2.42,2.64,0.57,4.3,23.7
1666,1282,1092,900,471,56.2,17.1,2.38,2.6,0.5,3.7,19.3
1683,1302,1123,906,471,57.1,16.9,2.47,2.67,0.55,3.6,18.6
1643,1248,1048,898,472,56.9,16.8,2.56,3.06,0.67,2.9,23.5
1783,1396,1187,1088,501,60,19.4,2.62,3.32,0.65,2.7,26.7
1856,1503,1304,1146,531,53,25,2.41,2.77,0.43,2.5,11.5
1935,1623,1433,1189,546,46.2,29.7,2.49,2.71,0.44,3,12.4
2127,1909,1777,1263,592,37.2,36.9,2.41,2.63,0.44,4.2,15.2
2101,1885,1765,1217,599,33.7,39.6,2.45,2.57,0.43,2.9,9.8
2032,1812,1686,1168,611,30.7,38.5,2.53,2.68,0.43,2.5,12.5
2009,1791,1661,1150,624,30,38.4,2.45,2.65,0.42,2.3,15.8
1986,1771,1646,1126,645,27.9,39.2,2.44,2.63,0.42,2.6,12.9
1937,1707,1582,1090,643,27.5,38.5,2.34,2.53,0.43,7.3,21.2
1778,1481,1355,942,613,29.2,33.8,2.24,2.38,0.41,6.8,18.8
1764,1462,1338,922,592,32.9,28,2.24,2.36,0.43,4.3,13.5
1776,1471,1350,920,590,37,25,2.35,2.46,0.44,3.8,22.8
1772,1452,1327,916,576,41.2,22.7,2.19,2.28,0.33,2.7,11.8
1776,1453,1324,917,572,43.8,21.5,2.15,2.22,0.3,2.6,9
1751,1409,1261,928,554,48.8,20.3,2.12,2.18,0.25,2.2,7.8
1725,1374,1213,922,542,49.7,19.9,2.11,2.17,0.23,2.8,7.3
1692,1332,1155,910,529,52.1,18.8,2.15,2.19,0.25,3,10
1681,1319,1137,907,539,52.6,18.6,2.16,2.22,0.28,4.1,13.4
1675,1309,1125,912,533,53.4,18.3,2.14,2.2,0.25,3.1,8.3
1662,1296,1109,910,534,54,18.2,2.23,2.32,0.29,2.8,10
1638,1258,1062,914,543,54.8,18,2.3,2.4,0.34,2.7,11.4
1616,1229,1012,918,550,55.8,18.2,2.35,2.48,0.41,2.4,14
1599,1206,993,901,547,54.5,18.6,2.46,2.66,0.51,2.6,20.5
1627,1230,1010,942,546,54.9,17.9,2.35,2.71,0.4,2.4,13.5
1701,1313,1101,1006,556,57.5,18.6,2.32,2.48,0.36,2.4,9.8
1905,1583,1394,1172,590,52.2,24.6,2.25,2.35,0.32,2.5,7
2057,1800,1649,1247,623,45.3,31.5,2.22,2.29,0.29,2.5,4.1
2150,1953,1831,1279,659,39.4,36.9,2.3,2.38,0.29,2.6,4.7
2087,1889,1776,1199,679,31.8,40.1,2.21,2.3,0.29,2.4,5.6
2064,1858,1744,1194,688,31,39.2,2.34,2.47,0.29,2.2,4.5
2037,1825,1710,1182,705,31.1,38.5,2.34,2.67,0.3,1.8,9.3
2029,1819,1702,1166,707,30.9,38.9,2.35,2.66,0.37,2.4,13.1
1942,1699,1570,1106,695,30.3,37.7,2.27,2.44,0.39,2.4,14.8
1830,1539,1413,1005,672,31.6,35.8,2.17,2.23,0.3,2.7,8.3
1776,1471,1343,944,625,38.7,25.8,2.1,2.14,0.24,4,6.2
1777,1473,1350,945,619,42.6,23.8,2.11,2.16,0.23,2.7,9.7
1776,1468,1341,948,608,45.3,22.6,2.14,2.18,0.2,2.5,6.8
1776,1455,1318,953,583,49.2,21.5,2.12,2.15,0.21,3,6.1
1796,1482,1351,946,573,50.3,21.2,2.11,2.14,0.22,2.6,6.9
1776,1446,1302,944,560,52.9,20.3,2.11,2.14,0.22,2.5,8.3
1777,1446,1299,952,558,54.3,19.7,2.12,2.15,0.26,2.5,9.5
1779,1444,1296,947,554,55.7,19.4,2.13,2.17,0.28,1.7,11.9
1754,1410,1255,947,553,56.5,19.1,2.16,2.2,0.31,3.1,11.4
1743,1396,1233,945,556,57.3,18.8,2.19,2.26,0.32,3,10.1
1717,1363,1199,927,554,58,18.6,2.24,2.34,0.35,2.7,14.3
1682,1318,1135,915,557,58.1,18,2.32,2.42,0.39,2.8,20
1615,1230,1013,912,553,58.7,17.4,2.43,2.52,0.41,2.7,15
1621,1227,1007,912,551,59.4,17,2.47,2.59,0.39,2.7,14.4
1879,1520,1334,1104,571,62,19.3,2.52,2.65,0.44,2.7,10.4
1946,1617,1432,1192,582,57.7,25,2.45,2.56,0.48,2.9,9.7
2011,1756,1600,1223,593,42.6,34.4,2.44,2.55,0.43,2.7,8.2
2079,1854,1716,1236,609,38.2,36.9,2.46,2.57,0.41,2.7,9.1
2084,1870,1744,1219,621,35.6,38.3,2.34,2.46,0.34,2.7,9.2
2040,1827,1705,1188,638,32.7,38.3,2.41,2.55,0.33,2.8,10.4
2032,1810,1681,1188,656,32.4,38.2,2.36,2.54,0.4,2.6,17.2
2028,1808,1683,1179,656,32.3,38.5,2.39,2.69,0.56,3.3,31.1
1999,1765,1641,1160,650,32.6,38.1,2.35,2.55,0.61,4.3,39.2
1833,1553,1417,1002,617,34.4,33.9,2.29,2.43,0.37,5,28.5
1811,1520,1394,971,605,38.4,28.3,2.24,2.37,0.39,4.4,20.8
1792,1483,1353,958,582,44.8,23.8,2.23,2.35,0.37,3.2,21.1
1783,1467,1329,958,575,46.9,22.8,2.15,2.22,0.3,2.8,9
1783,1463,1325,952,560,48.4,22.2,2.12,2.17,0.24,3.5,8.9
1789,1468,1327,949,551,51,21.1,2.14,2.19,0.3,3.8,11.3
1780,1456,1312,950,544,51.9,20.7,2.17,2.23,0.37,3.2,13.1
1775,1443,1292,944,532,53.4,20.1,2.18,2.25,0.41,3,13.5
1774,1434,1286,953,528,54.5,20,2.2,2.31,0.47,3,10.2
1773,1433,1285,941,525,55,19.6,2.23,2.36,0.51,3.8,11.8
1774,1434,1282,949,526,55.6,19.5,2.27,2.41,0.56,3.2,17.2
1786,1454,1303,948,511,55.7,19.7,2.35,2.51,0.6,3,19.9
1738,1386,1219,934,511,56.1,19.1,2.34,2.52,0.57,2.9,18.4
1748,1403,1240,937,501,57,18.6,2.33,2.49,0.52,2.9,14.7
1744,1391,1218,945,498,57.7,18.8,2.41,2.57,0.53,2.7,19.1
1780,1428,1263,983,495,57.9,19.1,2.41,2.58,0.5,2.5,15.4
1926,1612,1443,1155,511,56.6,24.2,2.35,2.52,0.48,2.4,12.1
1983,1697,1534,1187,538,48.6,29.5,2.35,2.5,0.48,2.4,13.5
2048,1809,1675,1225,566,40.5,35,2.41,2.53,0.58,2.4,23.4
2031,1802,1667,1197,575,37.8,36.9,2.45,2.56,0.47,2.4,13.3
2027,1804,1674,1196,587,36.3,36.8,2.46,2.62,0.47,2.2,13.4
2018,1792,1653,1196,609,35.4,36.9,2.46,2.6,0.47,2.2,27.6
2022,1801,1669,1191,618,34.4,37.9,2.44,2.57,0.55,2.6,38.1
1925,1673,1524,1127,623,34,37.2,2.37,2.54,0.62,2.8,27.5
1840,1565,1410,1051,610,34.8,34.8,2.35,2.5,0.49,2.9,25.4
1792,1491,1349,991,593,40.3,27.2,2.31,2.46,0.49,3,24.2
1773,1464,1316,978,590,42.5,25.9,2.26,2.38,0.41,2.6,22.3
1769,1451,1296,976,583,45.9,24.2,2.21,2.29,0.38,2.2,15.4
1754,1428,1269,969,579,47.1,23.5,2.16,2.23,0.36,2.6,13
1777,1454,1299,969,571,48.3,22.9,2.15,2.22,0.35,3.2,16.3
1768,1436,1270,956,549,51.2,21.5,2.16,2.23,0.32,2.8,14.4
1795,1459,1295,979,555,52.1,21.5,2.13,2.19,0.31,2.9,12.4
1764,1423,1260,945,539,51,21.9,2.13,2.22,0.34,2.4,12.6
1758,1413,1246,958,528,52.1,20.7,2.14,2.22,0.32,2.1,12.3
1759,1404,1235,933,511,54,20,2.14,2.21,0.3,3.3,12.3
1744,1386,1214,928,502,54.6,19.5,2.19,2.29,0.33,3.1,15.4
1735,1377,1200,929,496,55.6,19,2.25,2.37,0.4,3,25.2
1731,1364,1185,924,490,57,18.6,2.39,2.53,0.4,2.9,19.3
1739,1368,1187,937,483,57.8,18.3,2.44,2.59,0.42,2.9,28.1
1871,1510,1315,1114,511,61,20,2.3,2.46,0.37,2.9,23.3
1989,1680,1503,1201,550,56.4,25.9,2.37,2.56,0.37,2.8,20.3
2125,1895,1764,1258,580,41,36.5,2.63,2.84,0.39,2.7,28.3
2139,1924,1797,1263,592,37.8,38.6,2.68,2.89,0.36,2.5,24.3
2109,1906,1787,1214,608,34.1,40.2,2.65,2.84,0.37,2.4,22.4
2080,1872,1749,1202,614,33.3,39.6,2.72,2.96,0.4,2.4,23.4
2080,1870,1746,1206,625,33.2,39.5,2.64,2.96,0.46,2,34.2
2005,1793,1672,1156,640,31.4,40.5,2.59,2.89,0.58,2.8,37
1931,1694,1563,1103,644,32.1,38.1,2.43,2.67,0.59,3.5,34.5
1830,1558,1423,1008,629,35.5,33.1,2.49,2.75,0.5,4.3,33.6
1823,1535,1416,991,613,38.1,29.2,2.39,2.55,0.38,3.7,29.7
1859,1571,1455,1006,577,46.6,24.9,2.24,2.34,0.35,3.6,28.4
1970,1708,1635,1023,560,49.8,24,2.17,2.24,0.35,4.9,19.2
1915,1639,1535,1028,532,52.4,24.4,2.16,2.21,0.32,4.7,15
1870,1578,1458,1008,528,53.1,23.7,2.16,2.22,0.32,4.2,11.9
1804,1488,1342,1008,533,54.3,23,2.07,2.12,0.31,4.1,8.7
1828,1518,1371,1001,528,56,22.3,2.09,2.16,0.35,4.1,8.7
1811,1494,1343,994,526,56.8,21.9,2.12,2.2,0.39,3.1,14.9
1811,1493,1341,1007,528,58.8,21.6,2.15,2.27,0.43,2.5,21.1
1790,1457,1293,1007,539,59.2,21.9,2.21,2.37,0.79,1.8,43.9
1747,1410,1239,986,535,59.7,21.5,2.36,2.55,0.72,1.5,43.3
1732,1393,1223,968,537,60,21.1,2.33,2.5,0.49,1.6,23.8
1744,1405,1232,979,544,60.8,20.6,2.32,2.45,0.38,3.2,20.7
1752,1407,1221,1000,550,61.3,20.9,2.3,2.38,0.61,2.7,22.2
1851,1519,1357,1067,558,61,21.4,2.35,2.44,0.33,1.1,24
1903,1586,1420,1113,558,57.6,25,2.32,2.4,0.3,1,16.9
1926,1613,1445,1139,565,54.9,27.2,2.32,2.43,0.34,1.3,14.7
2080,1831,1681,1260,588,50.2,31.4,2.26,2.34,0.33,1,10.5
2075,1846,1702,1255,603,43,37.3,2.2,2.3,0.34,0.9,10.8
2032,1808,1653,1227,615,37.2,38.9,2.24,2.35,0.34,0.9,11.6
2070,1858,1711,1244,631,36.5,39.3,2.32,2.46,0.31,0.9,15.2
2045,1835,1688,1229,649,34.8,40.9,2.31,2.48,0.48,1.6,22.3
1948,1698,1535,1162,639,36,37.5,2.63,2.82,0.56,1.5,32
1867,1589,1415,1107,624,37.7,36.5,2.72,2.94,0.45,2.3,39.2
1764,1454,1286,999,606,43.4,28.9,2.39,2.53,0.45,2.4,34.7
1768,1456,1285,1001,592,47.1,26.3,2.28,2.38,0.37,3.4,20.6
1772,1444,1272,1002,589,49.4,25.4,2.23,2.31,0.31,1,25.7
1747,1411,1229,1003,577,50.1,25.2,2.21,2.28,0.27,1.2,17
1780,1444,1264,1034,577,51.8,25.2,2.14,2.21,0.24,2.8,16.8
1788,1450,1264,1021,575,52.2,25.2,2.14,2.21,0.28,3.9,15.9
1817,1486,1310,1022,576,53.2,25,2.14,2.2,0.32,1.9,21.3
1914,1602,1469,1021,561,54.8,24.2,2.12,2.2,0.31,0.9,18.2
1940,1632,1502,1040,560,56.4,23.6,2.16,2.32,0.32,1.1,17.1
1808,1464,1285,1045,572,57,24.4,2.19,2.34,0.35,0.9,19.3
1774,1416,1222,1038,577,56.8,24.5,2.25,2.38,0.31,0.4,23.6
1736,1373,1168,1014,576,58.4,23.1,2.28,2.41,0.32,0.3,17.2
1760,1400,1201,1022,578,59.7,22.9,2.33,2.48,0.37,0.6,17.2
1806,1457,1274,1036,581,59.8,23.3,2.38,2.54,0.38,2.1,19
1975,1662,1491,1164,599,61.1,24.4,2.52,2.68,0.39,2.7,22.1
2062,1784,1621,1253,623,56.1,29.5,2.58,2.71,0.4,2.4,26.6
2126,1910,1768,1281,638,42.8,38.1,2.43,2.52,0.31,2.1,17.1
2140,1952,1816,1281,651,39.7,40,2.58,2.69,0.38,2.4,13
2169,2009,1886,1263,666,34.2,42.8,2.4,2.49,0.37,2.2,13.4
2104,1926,1793,1226,671,32.8,42.8,2.37,2.49,0.4,2.3,13.5
2079,1895,1757,1215,681,32,41.9,2.4,2.57,0.43,2.6,19.2
2052,1864,1724,1196,691,31.9,42,2.55,2.84,0.59,3.7,26.9
2004,1804,1659,1177,701,31.6,41.5,2.59,3.06,0.64,5.2,36.9
1831,1555,1388,1059,661,35,36.7,2.49,2.74,0.51,6.1,32.8
1774,1467,1295,1012,626,43.8,28.6,2.38,2.53,0.45,5.2,23
1759,1446,1268,1010,618,46.8,27.3,2.34,2.48,0.42,4.8,21.8
1754,1437,1260,1001,615,48.4,26.6,2.24,2.35,0.41,6.3,20.9
1755,1426,1245,1009,613,51.8,25.4,2.17,2.25,0.34,5.5,13.3
1759,1433,1250,1002,613,52.9,25.1,2.18,2.24,0.33,5.5,14.1
1758,1420,1232,1009,614,55.6,24.4,2.16,2.2,0.28,5.1,15
1755,1417,1224,1007,609,56.5,24.2,2.15,2.21,0.4,5.6,20.2
1775,1430,1238,1015,607,57.5,24,2.13,2.21,0.42,6.2,17.5
1771,1426,1232,1019,608,57.8,24.6,2.15,2.24,0.41,5.2,19.1
1764,1415,1223,1012,597,58.3,24.2,2.17,2.23,0.35,4.7,19.7
1757,1405,1207,1015,597,59.6,24,2.17,2.23,0.37,3.4,13.2
1767,1415,1228,1021,598,59.4,23.8,2.23,2.31,0.42,3,14.9
1776,1426,1232,1025,601,60.4,24,2.23,2.3,0.39,2.9,15.6
1796,1446,1259,1048,605,60.2,24.2,2.26,2.34,0.35,2.3,18.6
1804,1455,1267,1064,598,60.4,24.4,2.32,2.4,0.38,1.8,20.9
1967,1660,1486,1195,617,59.2,26.4,2.23,2.32,0.42,2.1,24.3
2035,1772,1616,1244,633,55.5,31.3,2.24,2.36,0.42,2.4,21.7
2097,1879,1740,1253,656,42.7,38.2,2.27,2.39,0.41,2.1,18.4
2084,1870,1734,1233,658,41,39.1,2.21,2.31,0.4,1.7,13.4
2071,1856,1721,1214,657,38.5,39.2,2.28,2.4,0.41,1.8,17
2046,1829,1684,1208,666,38,38.9,2.26,2.39,0.39,1.5,26.4
1999,1773,1620,1195,668,36.7,39.6,2.27,2.41,0.42,1.7,25.1
1940,1698,1535,1154,668,36.5,38.8,2.23,2.37,0.43,2.1,37.4
1855,1579,1406,1087,659,37.7,36.9,2.21,2.32,0.4,2.6,27.8
1781,1473,1296,1012,639,43.6,29.8,2.19,2.29,0.38,2.5,29.5
1754,1436,1251,1001,637,46.3,28,2.2,2.29,0.37,2.1,24.6
1748,1419,1230,989,621,50.3,25.7,2.22,2.29,0.37,2.1,16.8
1746,1411,1223,987,607,51.9,25,2.21,2.28,0.46,2.2,20.9
1754,1418,1232,998,592,54.3,24.2,2.17,2.23,0.34,3.1,20
1746,1405,1215,986,587,55.4,23.9,2.15,2.2,0.3,3.1,17.7
1758,1417,1232,978,575,57,23.4,2.15,2.21,0.34,2.6,15.2
1763,1416,1233,979,576,57.7,23.1,2.14,2.22,0.35,3.3,15.9
1759,1413,1227,983,573,58.3,23,2.15,2.21,0.31,2.8,14.4
1791,1445,1265,993,571,58,23.6,2.15,2.2,0.33,2.3,19.3
1772,1424,1243,976,562,57.3,23.5,2.2,2.27,0.39,3.6,41.1
1762,1408,1214,988,564,57.7,23.2,2.19,2.26,0.53,2.5,24.9
1756,1399,1208,977,559,57.3,23.4,2.22,2.3,0.44,2.1,29.7
1762,1410,1226,963,549,56.2,22.9,2.25,2.35,0.45,2.7,30.9
1830,1488,1307,1046,558,55.7,22.9,2.31,2.42,0.46,2.9,21.1
1900,1586,1406,1114,566,54.9,25.8,2.3,2.4,0.45,2.5,21.4
1995,1740,1584,1172,600,45,33.3,2.35,2.46,0.43,2.5,17.3
2004,1771,1624,1178,622,41.2,35.8,2.31,2.42,0.66,3,19.1
2049,1838,1695,1189,639,38.2,38,2.3,2.4,0.6,3.2,36.1
2027,1811,1670,1177,641,36.4,38.6,2.31,2.41,0.54,2.9,30.7
2018,1804,1654,1182,644,36,38.5,2.26,2.36,0.5,3.1,26.8
2034,1832,1691,1175,657,34.6,39.6,2.24,2.34,0.51,4.9,26.8
1888,1631,1468,1077,649,33.7,38.9,2.25,2.36,0.45,5.4,38.2
1756,1457,1290,957,629,34.7,35.5,2.24,2.35,0.43,4.7,16.3
1695,1379,1207,895,609,37.6,29.3,2.23,2.32,0.42,3.5,15.2
1671,1344,1168,866,591,44.1,23.3,2.21,2.29,0.46,3.5,20.4
1664,1329,1151,859,576,45.6,22.2,2.17,2.24,0.34,3.7,17.3
1687,1348,1167,879,562,47.5,21.4,2.16,2.21,0.38,3.5,21.2
1682,1339,1155,879,560,47.4,21.9,2.14,2.2,0.34,4.1,14.2
1676,1328,1138,882,544,48.2,21.5,2.18,2.25,0.43,6.1,14.2
1682,1336,1150,887,545,48.5,21.5,2.19,2.26,0.41,3.8,12.9
1666,1308,1123,859,537,49.5,20.6,2.18,2.27,0.43,3.6,15.9
1665,1304,1117,859,528,50.1,20.1,2.18,2.28,0.43,3.3,14.5
1655,1294,1104,853,526,51.1,19.7,2.18,2.29,0.49,4.1,17.9
1663,1297,1105,849,506,52.6,19.1,2.2,2.31,0.44,5,15.7
1659,1284,1099,848,493,53,18.9,2.2,2.31,0.47,4.9,17.5
1664,1294,1101,853,494,54.3,18.5,2.21,2.31,0.44,5,22.8
1683,1310,1116,861,485,54.4,18.4,2.21,2.32,0.46,3.8,11.7
1742,1370,1171,932,496,54.3,20.7,2.2,2.31,0.46,2.8,14
1765,1399,1205,960,499,52.5,22.4,2.22,2.32,0.46,3.9,16.9
1823,1472,1280,1034,507,50.5,24,2.24,2.34,0.44,3.9,20.5
1856,1535,1357,1057,535,44,30.3,2.27,2.39,0.45,3.6,18.5
1881,1587,1407,1072,544,42.2,30.5,2.24,2.35,0.47,1.6,22.4
1892,1598,1422,1080,561,39.7,32.4,2.24,2.33,0.42,1.4,20
1848,1535,1362,1045,566,39.1,33.2,2.29,2.38,0.4,1.5,28.8
1748,1413,1233,946,545,39.1,29.7,2.28,2.4,0.44,1.6,17.9
1727,1389,1205,933,534,40.7,27.3,2.35,2.47,0.47,1.7,21.2
1670,1316,1131,879,511,42.3,24.4,2.23,2.34,0.42,1.7,19.5
1653,1298,1110,861,511,43.4,22.8,2.19,2.27,0.35,1.8,15.2
1680,1326,1148,854,503,44.5,21.7,2.17,2.25,0.37,1.7,16.4
1641,1275,1091,838,491,45.5,20.7,2.16,2.26,0.37,1.9,16.8
1630,1258,1070,827,476,46,19.9,2.16,2.26,0.38,2.5,18.2
1617,1245,1050,816,473,46.3,19.6,2.16,2.27,0.36,2.1,17.6
1619,1245,1056,810,467,46.6,19,2.17,2.29,0.35,2.1,16.7
1615,1235,1045,800,453,47.4,18.1,2.13,2.24,0.31,1.4,15.9
1599,1218,1022,783,446,47.6,17.9,2.15,2.27,0.35,1.3,16.9
1589,1210,1014,767,441,47.7,16.8,2.17,2.29,0.41,1.1,21.4
1584,1200,1005,759,427,47.6,16.5,2.17,2.29,0.35,1,17.9
1580,1197,1000,750,426,47.3,16.4,2.16,2.28,0.29,1.1,15.7
1585,1200,1012,742,419,46.8,15.9,2.16,2.28,0.31,1.2,18.1
1581,1197,1002,739,417,47.1,15.5,2.15,2.25,0.27,0.9,18.6
1572,1186,988,727,405,47.7,15.2,2.15,2.24,0.3,1.7,30.6
1581,1190,1000,725,397,49.5,14.1,2.13,2.22,0.28,2.2,21.9
1623,1234,1059,757,386,51.5,14,2.13,2.22,0.28,2.1,18.9
1625,1234,1057,760,379,51.4,14.7,2.15,2.24,0.28,2.2,26.1
1630,1233,1051,779,379,51.3,15,2.13,2.22,0.28,2.2,14
1648,1255,1068,806,371,49.9,17.6,2.1,2.2,0.3,2.1,11.8
1666,1267,1075,833,368,48.1,17.7,2.15,2.25,0.29,2.2,24.5
1684,1288,1096,856,368,45.9,20.7,2.15,2.26,0.25,2.6,19.9
1679,1284,1095,846,368,44.6,21.3,2.18,2.29,0.28,2.2,41.5
1680,1292,1105,833,368,43.9,21.1,2.16,2.28,0.31,2.4,31.9
1666,1286,1111,788,357,44.5,20.5,2.17,2.33,0.39,2.4,33.2
1623,1234,1057,754,352,45.5,17.3,2.15,2.35,0.34,2.2,34.6
1614,1222,1043,749,346,46.8,16.4,2.2,2.49,0.37,2.1,42.9
1614,1218,1039,748,342,47.6,15.8,2.17,2.4,0.36,2.4,32.9
1629,1235,1056,752,342,48.5,15.6,2.15,2.33,0.32,2.6,43.7
1635,1249,1073,757,336,48.9,15.6,2.15,2.31,0.31,3,27.6
1623,1232,1050,764,339,49.1,15.7,2.15,2.31,0.36,2.5,19.5
1612,1216,1035,753,338,49,15.7,2.18,2.33,0.5,2.4,26.6
1608,1213,1036,747,334,49.7,14.6,2.17,2.33,0.35,2.5,24.5
1613,1216,1034,751,335,50.5,14.3,2.17,2.34,0.34,2.4,19.8
1608,1205,1009,766,335,50,15.2,2.18,2.33,0.28,2,19
1603,1200,1007,753,336,49.7,15.3,2.18,2.32,0.29,1.9,21.2
1594,1194,996,742,331,49.3,15.2,2.19,2.33,0.36,2.3,21.8
1620,1225,1038,761,336,50.4,14.5,2.18,2.32,0.32,2.2,20.4
1623,1224,1034,761,338,50.3,15,2.17,2.31,0.27,2.9,20.4
1665,1261,1070,807,339,49.7,16.3,2.18,2.31,0.32,3,16.5
1696,1295,1100,847,341,49.4,17.3,2.18,2.31,0.34,2.8,16.1
1831,1455,1261,991,365,46.7,23.2,2.19,2.31,0.31,2.9,22.2
1866,1508,1320,1040,384,42.5,27.5,2.18,2.3,0.31,3.2,22.6
1867,1519,1335,1022,396,38.7,30.6,2.15,2.27,0.31,3.2,12.9
1877,1535,1370,1020,416,35.8,32.4,2.21,2.34,0.34,3.3,15.2
1819,1476,1299,974,421,35.8,32.2,2.19,2.31,0.3,2.5,16
1805,1457,1287,958,431,35.3,29.7,2.23,2.36,0.33,3.2,26.4
1791,1449,1285,916,432,35.8,29.2,2.21,2.35,0.38,3.7,49.8
1692,1332,1158,845,417,36.7,26.8,2.2,2.34,0.42,4,32.5
1674,1309,1137,810,407,38.4,23.4,2.21,2.35,0.4,4.5,29.7
1649,1281,1109,776,385,41.6,19.7,2.2,2.34,0.42,4.2,26
1642,1262,1088,775,375,42.6,18.7,2.21,2.34,0.43,3.7,25.7
1632,1253,1074,771,368,43.5,18.1,2.16,2.25,0.39,3.6,19.7
1658,1279,1099,787,361,44.5,18.2,2.15,2.25,0.38,3.3,19.2
1655,1274,1088,793,363,44.9,18.3,2.15,2.55,0.63,3.2,16.3
1656,1270,1088,795,357,45.2,18.4,2.18,2.28,0.4,3.4,17.5
1646,1258,1072,785,360,45.3,18.4,2.19,2.33,0.46,3.6,23.2
1653,1263,1072,796,358,46,18,2.2,2.39,0.52,3.8,39.4
1657,1263,1075,800,358,46.3,18.1,2.21,2.4,0.46,3.6,38.3
1667,1272,1087,804,354,47.2,18,2.23,2.43,0.46,3.2,30.3
1669,1276,1088,805,357,47.5,18.1,2.25,2.46,0.45,3.3,24.5
1652,1260,1068,803,354,47.6,18,2.25,2.47,0.44,3.3,24.1
1671,1275,1085,817,352,48.3,17.8,2.21,2.4,0.4,3.2,22.1
1736,1341,1148,884,370,48.9,18,2.23,2.38,0.43,3.5,21.7
1821,1454,1265,987,391,44.8,24.6,2.25,2.41,0.43,3.4,23.7
1840,1479,1290,992,400,41,27.7,2.26,2.4,0.44,3.2,19.9
1606,1208,918,868,-200,39,24.6,2.25,2.41,0.43,3.3,23.3
1599,1200,925,862,-200,40,24.5,2.22,2.4,0.4,3.1,18.1
1600,1201,915,870,-200,40.5,24.4,2.26,2.42,0.41,2.9,22.2
1580,1183,879,880,-200,38.2,25.7,2.29,2.45,0.42,2.8,19.7
1802,1412,1201,983,-200,38.1,25.8,2.29,2.48,0.46,3.3,24.4
1839,1450,1253,997,1175,36.5,32,2.22,2.39,0.44,3.7,28
1771,1384,1214,857,1102,39.8,26.2,2.25,2.45,0.48,4,28.2
1758,1377,1216,834,1072,41,23.1,2.21,2.37,0.48,4.6,24.5
1757,1376,1220,818,1049,41.3,21.7,2.2,2.38,0.47,4.5,21.7
1744,1365,1228,777,1007,41.3,19.9,2.19,2.36,0.46,3.9,23.1
1740,1365,1232,752,993,41.5,18.7,2.21,2.33,0.51,3.8,27.7
1736,1360,1232,741,976,41.6,17.9,2.2,2.33,0.52,3.6,21.2
1734,1362,1245,721,947,41.5,16.9,2.19,2.3,0.45,3.1,26.2
1735,1369,1254,728,944,41.5,16.4,2.18,2.29,0.44,3,24
1750,1385,1266,750,931,41.2,17.2,2.18,2.33,0.54,3,23.1
1750,1385,1269,747,923,41,17.5,2.19,2.35,0.55,2.7,33.2
1746,1387,1274,734,912,41,17,2.23,2.43,0.68,3,37.3
1748,1388,1280,731,905,41,16.6,2.22,2.43,0.54,2.8,26.2
1744,1388,1282,712,886,41.1,16.3,2.26,2.46,0.52,2.7,26.6
1743,1387,1291,706,881,41.2,15.7,2.25,2.42,0.57,2.8,24.7
1745,1388,1295,709,881,41.3,15.4,2.25,2.43,0.58,2.9,23.9
1820,1456,1343,835,896,42,16.8,2.27,2.43,0.51,3.1,25.7
1868,1505,1374,913,912,40.8,21.4,2.27,2.44,0.53,3.3,32.4
1964,1617,1472,1042,963,38.4,29.2,2.28,2.45,0.51,3.4,27.3
1991,1647,1516,1076,995,38,32,2.27,2.43,0.49,3.1,23.5
2035,1705,1579,1109,1032,37.9,34.5,2.26,2.41,0.47,2.9,24.2
2041,1713,1586,1104,1040,38.4,34.9,2.29,2.47,0.47,2.8,17.8
2079,1743,1606,1130,1060,40.5,34.2,2.31,2.49,0.45,2.3,24.3
-200,-200,-200,-200,-200,-200,-200,2.31,2.46,0.5,2.7,30.9
