temperature,humidity,resistance,concentration
24.62,67.7,6663,1.3
21.46,75.48,6644,1.2
21.49,77.59,6481,1
20.37,83.92,9956,1
21.34,77.4,7719,1.3
20.8,84.99,8214,1
21.53,82.57,8248,1.3
21,86.12,9044,1.3
21.59,84.15,8760,0.8
21.27,82.05,8499,0.7
19.57,92.19,8150,0.5
20.39,88.07,8135,0.5
20.36,88.87,8405,0.4
20.47,89.03,8582,1
20.4,90.28,8576,1.4
21.24,86.97,8135,4.9
21.8,86.61,8066,4.4
21.41,80.41,8013,3
22.2,75.34,7934,2
23.76,69.21,7737,2.6
22.87,70.86,7865,2
21.25,72.36,7898,2.9
23.06,66.56,8256,3.4
22.02,69.57,8458,2
20.53,72.81,8430,1.3
20.4,73.32,8351,1.1
20.01,73.51,8228,0.8
19.67,74.71,8293,0.8
18.68,76.72,8221,0.7
19.26,75.68,8045,0.7
18.27,77.34,7995,0.7
18.54,75,7973,0.5
18.79,74.85,7962,0.4
18.66,75.01,7884,0.2
18.44,76.13,7756,0.3
18.41,76.65,7663,0.2
18.82,75.29,7627,0.4
19.05,74.64,7649,0.7
19.53,72.98,7637,2.4
21.78,65.62,7823,4.3
24.73,57.27,8170,3.9
26.28,52.95,8571,3.7
28.79,47.22,8715,2.9
28.14,48.8,8774,2.1
